AD Delta-P SP (psi),AD ROP SP (ft/hr),AD Torque SP (kft·lbf),AD WOB SP (klb),Accum Trip In (bbl),Accum Trip Out (bbl),Annular Velocity (ft/min),BHA Length (ft),Bit MSE (psi),Bit Position (ft),Bit RPM (RPM),Bit Size (in),Bit Time (hr),Bit Weight (klb),Block Height (ft),Bttm Pipe Temp (°F),Casing Pressure (psi),Circulating Hrs (hr),Co. Man G/L (bbl),Cont Az (deg),Cont Inc (deg),DateTime,Depth of Cut (ft),Depth(ft),Diff Press (psi),East West Horizontal (ft),Flow Deviation (%),Flow In Rate (galUS/min),Flow Out Percent (%),G/L Rate - 1 Min (bbl/min),G/L Rate - 5 Min (bbl/min),Gain Loss (bbl),Gain Loss - Spare (bbl),Gamma Depth (ft),Gamma Ray (offset) (API),Hole Depth (ft),Hook Load (klb),Lst Jnt Time (s),ML Mud Temp IN (°F),ML Mud Temp OUT (°F),MSE Downhole (psi),MSE Total (psi),Mud Motor RPM (RPM),Mud Motor Torque (ft·lbf),Mud Temp In (°F),Mud Temp Out (°F),Mud Volume (bbl),Mud Weight In (lb/galUS),North South Horizontal (ft),Pipe Length (ft),Pump Pressure (psi),Pump SPM - Total (SPM),Pump SPM 1 (SPM),Pump SPM 2 (SPM),Pump SPM 3 (SPM),ROP - Average (ft/hr),ROP - Cut Unit (ft/hr),ROP - Fast (ft/hr),Rotary RPM (RPM),Rotary Torque (A),Run Jnt Time (s),Strks - Acc Fill (strokes),Strks - Fill (strokes),Strks - Pump 1 (strokes),Strks - Pump 2 (strokes),Strks - Pump 3 (strokes),Strks - Total (strokes),Suction 1 Pit 9 (bbl),Suction 2 Pit 10 (bbl),Suction 3 Pit 11 (bbl),Surface MSE wMotor (psi),Svy Azimuth (deg),Svy Depth (ft),Svy Inclination (deg),Time On Bottom (hr),Time On Job (hr),Time On Slip (s),Top Drive RPM (RPM),Top Drive Torque (kft·lbf),Total Gas (ML) (lagged) (1%=100 Units),Total Rotations on DP (),Total Trip Volume (bbl),Trip Tank 1 (bbl),Trip Tank 2 (bbl),Trip Tank GL (bbl),WC Bit Weight (klb),WC Torque (ft·lbf),Washout Factor (),Water Pit (bbl)
250.0,150.0,6.0,12.0,0.0,1033.0,67.1,1228.6,2703.78,1441.87,74.0,12.0,5.5,-3.53,68.6,102.0,0.0,42.7,138.0,204.6,2.5,2023-09-13 07:15:41,0.22,1441.0,56.74,3.4,100.0,756.0,100.0,0.55,0.2,-8.0,122.0,1380.61,164.0,1441.87,131.88,7170.0,88.0,97.0,-999.25,-999.25,98.3,1147.0,90.0,65.0,762.0,8.9,1.8,284.3,1732.23,197.0,69.0,69.0,59.0,144.0,147.0,147.0,14.8,1036.0,627.0,1196095.0,7.0,54279.0,60156.0,52376.0,15674.0,78.0,77.0,76.0,1799.87,118.5,1377.65,0.1,5.5,59.8,493.0,14.8,0.8,-999.25,82.13,5.0,2.0,2.0,-33.0,-73.69,1.0,3.3,359.0
250.0,150.0,6.0,12.0,0.0,1033.0,67.1,1228.6,10905.36,1442.85,76.6,12.0,5.6,-3.17,67.6,102.0,0.0,42.7,138.0,204.6,2.5,2023-09-13 07:16:07,0.2,1442.0,197.57,3.4,101.0,756.0,101.0,-0.09,0.25,-8.0,122.0,1381.66,155.0,1442.85,132.15,7170.0,88.0,97.0,-999.25,-999.25,98.3,3995.0,90.0,65.0,762.0,8.9,1.8,284.3,1803.48,197.0,69.0,69.0,59.0,139.0,139.0,139.0,15.3,1997.0,653.0,1196095.0,7.0,54309.0,60186.0,52401.0,15756.0,78.0,77.0,76.0,4020.87,118.5,1378.7,0.1,5.6,59.8,493.0,15.3,1.5,-999.25,85.1,5.0,2.0,2.0,-33.0,-74.23,1.0,3.17,358.0
400.0,150.0,6.0,12.0,0.0,1033.0,67.1,1228.6,11480.25,1443.93,75.8,12.0,5.6,-2.74,66.5,102.0,0.0,42.7,138.0,204.6,2.5,2023-09-13 07:16:32,0.23,1443.0,239.51,3.4,100.0,756.0,101.0,0.29,0.24,-8.0,122.0,1382.66,155.0,1443.93,133.6,7170.0,88.0,98.0,-999.25,-999.25,98.3,4843.0,90.0,65.0,761.0,8.9,1.8,284.3,1945.98,197.0,69.0,69.0,59.0,162.0,153.0,153.0,15.2,3033.0,678.0,1196095.0,7.0,54337.0,60215.0,52426.0,15837.0,78.0,77.0,76.0,5302.22,118.5,1379.7,0.1,5.6,59.8,493.0,15.2,2.2,-999.25,84.29,5.0,2.0,2.0,-33.0,-75.18,2.0,2.94,358.0
400.0,150.0,6.0,12.0,0.0,1033.0,67.1,1228.6,4904.99,1444.79,76.0,12.0,5.6,-3.28,65.7,102.0,0.0,42.7,138.0,204.6,2.5,2023-09-13 07:16:58,0.22,1444.0,97.4,3.4,101.0,756.0,101.0,0.1,0.07,-8.0,122.0,1383.52,155.0,1444.79,133.3,7170.0,88.0,97.0,14388.84,13164.38,98.3,1969.0,90.0,65.0,762.0,8.9,1.8,284.3,1728.48,197.0,69.0,69.0,59.0,146.0,146.0,148.0,15.2,888.0,700.0,1196095.0,7.0,54363.0,60240.0,52447.0,15913.0,78.0,77.0,76.0,1630.44,118.5,1380.56,0.1,5.6,59.8,493.0,15.2,0.7,-999.25,84.7,5.0,2.0,2.0,-33.0,-75.87,1.0,3.31,358.0
400.0,150.0,6.0,12.0,0.0,1033.0,67.1,1228.6,5785.14,1445.87,77.0,12.0,5.6,-4.62,64.6,102.0,0.0,42.7,138.0,204.6,2.5,2023-09-13 07:17:19,0.21,1445.0,114.01,3.4,100.0,756.0,100.0,0.07,0.18,-8.0,122.0,1384.62,155.0,1445.87,135.82,7170.0,88.0,97.0,-999.25,-999.25,98.3,2305.0,90.0,65.0,762.0,8.9,1.8,284.3,1754.73,197.0,69.0,69.0,59.0,145.0,146.0,146.0,15.4,1479.0,726.0,1196095.0,7.0,54392.0,60270.0,52473.0,15998.0,78.0,77.0,76.0,2738.02,118.5,1381.66,0.1,5.6,59.8,493.0,15.4,1.1,-999.25,85.91,5.0,2.0,2.0,-33.0,-78.25,1.0,3.26,358.0
400.0,150.0,6.0,12.0,0.0,1033.0,67.1,1228.6,948.83,1446.95,74.9,12.0,5.6,-4.81,63.5,102.0,0.0,42.7,138.0,204.6,5.1,2023-09-13 07:17:45,0.23,1446.0,19.88,3.4,101.0,756.0,101.0,-0.72,-0.04,-8.0,121.0,1385.69,155.0,1446.95,133.92,7170.0,88.0,97.0,-999.25,-999.25,98.3,402.0,90.0,65.0,761.0,8.9,1.8,284.3,1635.98,197.0,69.0,69.0,59.0,144.0,152.0,152.0,15.0,2293.0,751.0,1196095.0,7.0,54421.0,60298.0,52497.0,16079.0,78.0,77.0,76.0,3991.71,118.5,1382.73,0.1,5.6,59.8,493.0,15.0,1.7,-999.25,83.63,5.0,2.0,2.0,-33.0,-76.36,2.0,3.49,358.0
400.0,150.0,6.0,12.0,0.0,1033.0,67.1,1228.6,8820.89,1447.8,73.7,12.0,5.6,-3.71,62.7,102.0,0.0,42.8,137.0,204.6,5.1,2023-09-13 07:18:11,0.21,1447.0,172.87,3.4,100.0,756.0,100.0,-1.25,-0.28,-9.0,121.0,1386.56,164.0,1447.8,132.21,7170.0,88.0,98.0,-999.25,-999.25,98.3,3496.0,89.0,65.0,761.0,8.9,1.8,284.3,1822.23,197.0,69.0,69.0,59.0,147.0,147.0,147.0,14.7,4734.0,773.0,1196095.0,7.0,54446.0,60324.0,52519.0,16149.0,78.0,77.0,76.0,8810.63,118.5,1383.6,0.1,5.6,59.8,493.0,14.7,3.5,-999.25,82.43,5.0,2.0,2.0,-33.0,-73.82,3.0,3.14,358.0
400.0,150.0,6.0,12.0,0.0,1033.0,67.1,1228.6,3825.37,1448.89,75.1,12.0,5.6,-4.72,61.6,102.0,0.0,42.8,137.0,204.6,5.1,2023-09-13 07:18:32,0.22,1448.0,76.1,3.4,101.0,756.0,101.0,-1.04,-0.11,-9.0,121.0,1387.64,164.0,1448.89,133.0,7170.0,88.0,97.0,-999.25,-999.25,98.3,1539.0,89.0,65.0,761.0,8.9,1.8,284.3,1689.73,197.0,69.0,69.0,59.0,145.0,147.0,147.0,15.0,2441.0,799.0,1196095.0,7.0,54477.0,60355.0,52545.0,16237.0,78.0,77.0,76.0,4475.57,118.5,1384.68,0.1,5.6,59.8,493.0,15.0,1.8,-999.25,84.03,5.0,2.0,2.0,-33.0,-75.31,2.0,3.38,358.0
400.0,150.0,6.0,12.0,0.0,1033.0,67.1,1228.6,3445.34,1449.97,76.7,12.0,5.6,-4.68,60.5,102.0,0.0,42.8,138.0,200.0,5.1,2023-09-13 07:18:59,0.23,1449.0,71.76,3.4,100.0,756.0,101.0,0.35,-0.01,-8.0,121.0,1388.72,164.0,1449.97,133.44,7170.0,88.0,97.0,-999.25,-999.25,98.3,1451.0,89.0,65.0,761.0,8.9,1.8,284.3,1645.98,197.0,69.0,69.0,59.0,145.0,153.0,153.0,15.3,74.0,824.0,1196095.0,7.0,54505.0,60383.0,52569.0,16316.0,78.0,77.0,76.0,129.5,118.5,1385.76,0.1,5.6,59.8,493.0,15.3,0.1,-999.25,85.97,5.0,2.0,2.0,-33.0,-75.86,0.0,3.47,358.0
325.0,75.0,6.0,12.0,0.0,1043.0,89.2,1228.6,-23100.43,1450.92,0.8,12.0,5.6,-7.21,59.5,97.0,0.0,44.2,156.0,5.6,14.6,2023-09-13 07:19:24,0.02,1450.0,-71.94,3.4,100.0,1005.0,99.0,0.81,-0.06,-2.0,140.0,1389.88,164.0,1450.92,136.14,7170.0,83.0,91.0,-999.25,-999.25,130.7,-1455.0,83.0,70.0,780.0,8.9,1.8,284.3,2568.48,262.0,87.0,88.0,87.0,23.0,23.0,80.0,0.2,0.0,10710.0,1196095.0,7.0,60785.0,1170.0,58145.0,5538.0,78.0,76.0,75.0,-0.06,118.5,1386.92,0.1,5.6,62.5,493.0,0.2,0.0,-999.25,0.94,36.0,17.0,19.0,-2.0,-78.4,-0.0,3.94,289.0
-999.25,250.0,6.0,12.0,0.0,1045.0,-999.25,1228.6,-1327.62,1451.99,148.9,12.0,6.4,2.58,57.6,99.0,0.0,45.3,151.0,-999.25,1.9,2023-09-13 17:00:58,0.23,1451.0,-23.61,-999.25,95.0,-999.25,95.0,-0.01,0.13,2.0,135.0,1390.56,145.0,1451.99,134.41,11.0,73.0,90.0,3012.53,4392.82,-999.25,1020.0,76.0,81.0,775.0,8.9,-999.25,284.3,2702.5,-999.25,-999.25,-999.25,-999.25,185.0,176.0,185.0,29.8,4660.0,6240.0,1196095.0,7.0,620.0,6543.0,63241.0,2980.0,80.0,78.0,77.0,3792.5,-999.25,1387.71,-999.25,6.4,68.2,5843.0,29.8,1.4,-999.25,190.77,36.0,17.0,19.0,-2.0,-76.59,1.0,3.56,251.0
-999.25,250.0,6.0,12.0,0.0,1045.0,-999.25,1228.6,8716.32,1452.96,150.5,12.0,6.4,3.56,56.6,99.0,0.0,45.3,151.0,-999.25,1.9,2023-09-13 17:01:18,0.27,1452.0,210.59,-999.25,96.0,-999.25,96.0,-1.01,0.2,1.0,135.0,1391.56,145.0,1452.96,135.05,11.0,72.0,90.0,2858.03,3310.23,-999.25,1183.0,76.0,81.0,774.0,8.9,-999.25,284.3,2816.25,-999.25,-999.25,-999.25,-999.25,241.0,241.0,219.0,30.1,2959.0,6254.0,1196095.0,7.0,639.0,6562.0,63259.0,3040.0,79.0,78.0,77.0,5583.59,-999.25,1388.6,-999.25,6.4,68.2,5843.0,30.1,2.7,-999.25,192.91,36.0,17.0,19.0,-2.0,-76.02,3.0,3.52,251.0
