AD Delta-P SP (psi),AD ROP SP (ft/hr),AD Torque SP (kft·lbf),AD WOB SP (klb),Accum Trip In (bbl),Accum Trip Out (bbl),Annular Velocity (ft/min),BHA Length (ft),Bit MSE (psi),Bit Position (ft),Bit RPM (RPM),Bit Size (in),Bit Time (hr),Bit Weight (klb),Block Height (ft),Bttm Pipe Temp (°F),Casing Pressure (psi),Circulating Hrs (hr),Co. Man G/L (bbl),Cont Az (deg),Cont Inc (deg),DateTime,Depth of Cut (ft),Depth(ft),Diff Press (psi),East West Horizontal (ft),Flow Deviation (%),Flow In Rate (galUS/min),Flow Out Percent (%),G/L Rate - 1 Min (bbl/min),G/L Rate - 5 Min (bbl/min),Gain Loss (bbl),Gain Loss - Spare (bbl),Gamma Depth (ft),Gamma Ray (offset) (API),Hole Depth (ft),Hook Load (klb),Lst Jnt Time (s),ML Mud Temp IN (°F),ML Mud Temp OUT (°F),MSE Downhole (psi),MSE Total (psi),Mud Motor RPM (RPM),Mud Motor Torque (ft·lbf),Mud Temp In (°F),Mud Temp Out (°F),Mud Volume (bbl),Mud Weight In (lb/galUS),North South Horizontal (ft),Pipe Length (ft),Pump Pressure (psi),Pump SPM - Total (SPM),Pump SPM 1 (SPM),Pump SPM 2 (SPM),Pump SPM 3 (SPM),ROP - Average (ft/hr),ROP - Cut Unit (ft/hr),ROP - Fast (ft/hr),Rotary RPM (RPM),Rotary Torque (A),Run Jnt Time (s),Strks - Acc Fill (strokes),Strks - Fill (strokes),Strks - Pump 1 (strokes),Strks - Pump 2 (strokes),Strks - Pump 3 (strokes),Strks - Total (strokes),Suction 1 Pit 9 (bbl),Suction 2 Pit 10 (bbl),Suction 3 Pit 11 (bbl),Surface MSE wMotor (psi),Svy Azimuth (deg),Svy Depth (ft),Svy Inclination (deg),Time On Bottom (hr),Time On Job (hr),Time On Slip (s),Top Drive RPM (RPM),Top Drive Torque (kft·lbf),Total Gas (ML) (lagged) (1%=100 Units),Total Rotations on DP (),Total Trip Volume (bbl),Trip Tank 1 (bbl),Trip Tank 2 (bbl),Trip Tank GL (bbl),WC Bit Weight (klb),WC Torque (ft·lbf),Washout Factor (),Water Pit (bbl)
250.0,35.0,10.0,20.0,473.0,3914.0,57.6,1073.1,104212.95,10001.0,186.6,9.0,119.5,20.02,58.3,230.0,0.0,242.4,-126.0,88.2,91.7,2023-11-22 10:18:12,0.02,10000.0,190.56,1675.8,100.0,648.0,100.0,-0.68,0.35,8.0,-43.0,9928.27,174.0,10001.0,203.69,7537.0,98.0,119.0,110147.48,124589.89,168.6,2093.0,91.0,46.0,609.0,8.65,1030.2,8990.8,3343.94,169.0,84.0,85.0,0.0,23.0,23.0,24.0,37.3,7988.0,5395.0,53477.0,38.0,49589.0,9866.0,34785.0,15174.0,68.0,68.0,61.0,345061.78,89.0,-999.25,91.5,119.5,391.1,86.0,37.3,6.2,-999.25,4460.48,33.0,16.0,17.0,-1.0,-146.17,6.0,1.21,176.0
250.0,35.0,10.0,20.0,473.0,3914.0,57.6,1073.1,92447.48,10001.99,0.0,9.0,119.5,20.13,57.3,230.0,0.0,242.5,-124.0,88.2,92.0,2023-11-22 10:20:48,0.03,10001.0,224.77,1675.8,100.0,648.0,100.0,0.59,0.45,9.0,-42.0,9929.36,164.0,10001.99,203.69,7537.0,98.0,119.0,67488.83,67488.83,168.6,1735.0,91.0,46.0,610.0,8.65,1030.2,8990.8,3500.19,169.0,84.0,85.0,0.0,25.0,23.0,27.0,0.0,0.0,5538.0,53477.0,38.0,49788.0,10066.0,34785.0,15573.0,68.0,68.0,62.0,0.33,89.0,-999.25,91.5,119.5,391.2,86.0,0.0,0.0,-999.25,0.0,33.0,16.0,17.0,-1.0,-145.62,-4.0,1.23,175.0
250.0,35.0,10.0,20.0,473.0,3914.0,57.6,1073.1,62791.2,10002.99,0.0,9.0,119.6,19.93,56.3,230.0,0.0,242.5,-124.0,88.6,92.0,2023-11-22 10:23:10,0.03,10002.0,146.73,1675.8,100.0,648.0,100.0,-0.83,0.19,10.0,-41.0,9930.34,148.0,10002.99,203.73,7537.0,97.0,120.0,91987.84,91987.84,168.6,2233.0,91.0,46.0,611.0,8.65,1030.2,8990.8,3368.94,169.0,84.0,85.0,0.0,24.0,24.0,27.0,0.0,0.0,5687.0,53477.0,38.0,49998.0,10277.0,34785.0,15991.0,68.0,68.0,61.0,7169.08,89.0,-999.25,91.5,119.6,391.2,86.0,0.0,0.2,-999.25,0.0,33.0,16.0,17.0,-1.0,-145.3,0.0,1.26,173.0
250.0,35.0,10.0,20.0,473.0,3914.0,57.6,1073.1,95088.42,10004.0,56.7,9.0,119.6,19.87,55.3,230.0,0.0,242.5,-122.0,88.6,92.0,2023-11-22 10:25:40,0.03,10003.0,220.26,1675.8,100.0,648.0,100.0,1.8,0.53,12.0,-40.0,9931.3,158.0,10004.0,203.91,7537.0,97.0,120.0,81249.34,117036.38,168.6,1889.0,91.0,47.0,612.0,8.65,1030.2,8990.8,3368.94,169.0,84.0,85.0,0.0,25.0,24.0,29.0,11.3,8728.0,5828.0,53477.0,38.0,50196.0,10476.0,34785.0,16391.0,68.0,68.0,61.0,134994.61,89.0,-999.25,91.5,119.6,391.2,86.0,11.3,3.1,-999.25,1356.87,33.0,16.0,17.0,-1.0,-145.98,3.0,1.25,172.0
250.0,35.0,10.0,20.0,473.0,3914.0,57.6,1073.1,84626.82,10005.0,166.5,9.0,119.6,19.25,54.3,230.0,0.0,242.6,-123.0,88.6,91.7,2023-11-22 10:28:01,0.03,10004.0,171.69,1675.8,100.0,648.0,100.0,-0.32,0.11,11.0,-41.0,9932.24,158.0,10005.0,204.21,7537.0,97.0,119.0,49778.45,49082.57,168.6,1300.0,91.0,47.0,611.0,8.65,1030.2,8990.8,3440.19,169.0,84.0,85.0,0.0,25.0,25.0,30.0,33.3,4438.0,5972.0,53477.0,38.0,50398.0,10679.0,34785.0,16796.0,68.0,68.0,62.0,258720.84,89.0,-999.25,91.5,119.6,391.3,86.0,33.3,5.1,-999.25,3983.5,33.0,16.0,17.0,-1.0,-146.75,5.0,1.22,171.0
604.16,120.0,28.0,35.0,473.0,3914.0,57.6,1073.1,78268.58,10006.0,176.6,9.0,119.7,35.82,53.3,230.0,0.0,242.7,-122.0,88.6,92.4,2023-11-22 10:30:25,0.03,10005.0,223.9,1675.8,100.0,648.0,100.0,-0.41,-0.01,12.0,-40.0,9933.32,128.0,10006.0,212.72,7537.0,96.0,119.0,105307.39,261864.5,168.6,2515.0,91.0,47.0,612.0,8.65,1030.2,8990.8,3431.44,169.0,84.0,85.0,0.0,36.0,36.0,31.0,35.3,32989.0,6350.0,53477.0,38.0,50927.0,11212.0,34785.0,17855.0,68.0,68.0,62.0,864707.94,89.0,-999.25,91.5,119.7,391.4,86.0,35.3,24.2,-999.25,4227.43,33.0,16.0,17.0,-1.0,-154.88,24.0,1.22,168.0
604.16,120.0,28.0,35.0,473.0,3914.0,57.6,1073.1,81415.7,10007.0,178.9,9.0,119.7,35.9,52.3,230.0,0.0,242.7,-122.0,88.2,92.4,2023-11-22 10:36:43,0.04,10006.0,205.93,1675.8,100.0,648.0,100.0,-0.4,-0.0,12.0,-40.0,9934.35,133.0,10007.0,212.42,7537.0,96.0,119.0,66678.14,189815.47,168.6,2050.0,91.0,47.0,612.0,8.65,1030.2,8990.8,3441.44,169.0,84.0,85.0,0.0,32.0,36.0,40.0,35.8,32767.0,6464.0,53477.0,38.0,51087.0,11372.0,34785.0,18176.0,69.0,68.0,62.0,980150.25,89.0,-999.25,91.5,119.7,391.4,86.0,35.8,24.2,-999.25,4282.48,33.0,16.0,17.0,-1.0,-155.27,24.0,1.24,167.0
604.16,120.0,28.0,35.0,473.0,3914.0,57.6,1073.1,100647.85,10008.0,170.7,9.0,119.7,35.26,51.3,230.0,0.0,242.8,-122.0,88.2,92.4,2023-11-22 10:38:37,0.03,10007.0,256.2,1675.8,100.0,648.0,100.0,0.13,-0.06,12.0,-40.0,9935.39,133.0,10008.0,213.04,7537.0,96.0,119.0,111534.01,276899.44,168.6,2458.0,91.0,47.0,612.0,8.65,1030.2,8990.8,3513.94,169.0,84.0,85.0,0.0,32.0,32.0,28.0,34.1,32693.0,6578.0,53477.0,38.0,51247.0,11533.0,34785.0,18499.0,68.0,68.0,61.0,972845.19,89.0,-999.25,91.5,119.7,391.4,86.0,34.1,24.2,-999.25,4086.68,33.0,16.0,17.0,-1.0,-155.33,24.0,1.2,166.0
604.16,120.0,28.0,35.0,473.0,3914.0,57.6,1073.1,71694.73,10009.0,173.1,9.0,119.8,35.29,50.3,230.0,0.0,242.8,-122.0,88.2,92.0,2023-11-22 10:40:30,0.03,10008.0,226.18,1675.8,100.0,648.0,100.0,-0.5,-0.04,12.0,-40.0,9935.92,133.0,10009.0,212.98,7537.0,96.0,119.0,95422.02,264620.5,168.6,2146.0,91.0,47.0,612.0,8.65,1030.2,8990.8,3496.44,169.0,84.0,85.0,0.0,40.0,39.0,29.0,34.6,33210.0,6669.0,53477.0,38.0,51375.0,11661.0,34785.0,18755.0,68.0,68.0,61.0,798261.75,89.0,-999.25,91.5,119.8,391.5,86.0,34.6,24.6,-999.25,4145.65,33.0,16.0,17.0,-1.0,-154.25,25.0,1.22,166.0
604.16,75.0,28.0,35.0,473.0,3914.0,57.6,1073.1,43380.01,10010.0,174.6,9.0,119.8,32.34,49.3,230.0,0.0,242.8,-123.0,88.2,92.0,2023-11-22 10:42:02,0.07,10009.0,205.33,1675.8,100.0,648.0,100.0,0.26,-0.15,11.0,-40.0,9936.87,143.0,10010.0,210.89,7537.0,96.0,119.0,50837.72,116839.87,168.6,2858.0,91.0,48.0,612.0,8.65,1030.2,8990.8,3451.44,169.0,84.0,85.0,0.0,62.0,60.0,73.0,34.9,33063.0,6900.0,53477.0,38.0,51698.0,11986.0,34785.0,19403.0,68.0,68.0,61.0,533220.5,89.0,-999.25,91.5,119.8,391.5,86.0,34.9,24.7,-999.25,4182.47,33.0,16.0,17.0,-1.0,-152.77,25.0,1.24,164.0
604.16,75.0,28.0,35.0,473.0,3914.0,57.6,1073.1,57838.53,10010.99,177.9,9.0,119.8,35.74,48.3,230.0,0.0,242.9,-122.0,88.2,92.0,2023-11-22 10:45:52,0.04,10010.0,220.54,1675.8,100.0,648.0,100.0,1.06,-0.01,12.0,-39.0,9938.25,153.0,10010.99,207.37,7537.0,96.0,119.0,67790.42,192761.98,168.6,2123.0,91.0,48.0,613.0,8.65,1030.2,8990.8,3425.19,169.0,84.0,85.0,0.0,47.0,47.0,41.0,35.6,33654.0,6975.0,53477.0,38.0,51803.0,12092.0,34785.0,19611.0,68.0,68.0,62.0,667768.44,89.0,-999.25,91.5,119.8,391.5,86.0,35.6,24.9,-999.25,4262.89,33.0,16.0,17.0,-1.0,-149.31,25.0,1.22,163.0
