client_num,target
0,4
10,6
11,1
14,5
16,1
20,2
21,4
23,5
24,1
28,5
29,1
30,1
35,0
37,5
42,0
44,1
45,4
49,1
51,1
53,1
54,3
55,3
59,0
60,0
64,6
66,4
67,0
80,1
81,4
84,1
90,1
92,2
94,1
97,4
99,3
100,3
103,1
106,6
111,3
116,3
120,2
122,2
124,4
126,0
128,1
129,2
134,4
136,4
137,4
142,5
143,6
144,4
145,3
146,1
147,4
149,2
152,5
157,1
167,1
173,1
176,5
178,4
179,1
182,4
183,1
184,4
185,6
189,4
190,2
191,0
193,5
198,4
202,5
204,4
210,1
212,4
214,1
215,1
217,1
222,4
223,5
225,4
232,4
234,6
239,1
240,4
241,4
243,1
244,1
251,4
252,0
255,1
258,1
260,4
266,5
267,1
268,1
270,4
272,6
275,0
280,1
282,3
287,1
288,6
289,4
294,2
296,4
297,4
299,1
300,0
301,0
306,5
308,1
310,0
312,0
316,5
317,4
319,1
320,0
321,1
322,3
324,3
328,0
329,0
333,1
338,3
341,5
346,4
350,3
352,4
353,0
354,1
355,1
357,3
361,1
365,3
366,0
367,5
369,4
370,4
371,0
377,5
379,0
380,1
381,6
383,1
386,6
395,4
399,2
401,1
403,1
404,2
406,1
409,4
411,1
413,4
415,1
417,4
423,3
425,6
426,3
427,0
429,1
432,1
434,0
438,3
439,4
441,4
442,0
446,1
447,1
448,1
454,3
455,3
456,4
460,3
462,1
463,4
467,5
468,0
469,1
470,0
477,0
482,5
483,1
485,1
487,4
489,6
491,4
493,0
498,3
500,1
501,0
504,1
506,4
507,5
508,4
509,1
512,1
513,0
514,4
515,1
516,4
520,1
521,0
527,3
529,4
533,4
534,1
535,0
538,1
540,1
544,0
545,0
551,1
553,1
567,4
569,1
570,1
571,4
579,2
587,0
588,1
590,6
592,1
593,0
595,0
596,3
598,1
599,4
600,4
603,4
610,4
611,2
616,1
625,4
630,3
635,0
636,3
637,4
638,1
642,3
644,0
645,1
648,4
651,1
652,1
655,1
656,1
662,1
664,0
668,3
671,6
672,2
673,0
675,4
678,0
679,6
681,0
682,1
683,6
684,1
685,4
687,1
689,3
690,5
692,0
695,4
696,1
697,6
700,4
710,5
713,0
714,1
715,4
716,6
717,1
719,1
723,5
725,4
726,4
727,4
730,1
731,3
734,0
735,6
736,2
737,6
738,1
739,6
743,0
744,6
746,6
748,5
750,1
751,0
755,1
756,4
757,6
759,2
760,1
762,0
763,6
765,6
768,0
773,1
776,1
781,2
782,1
784,3
785,4
786,4
791,0
795,0
803,3
807,4
809,5
814,1
816,6
818,5
821,4
822,4
827,0
828,4
831,2
832,6
834,2
838,3
840,3
841,6
842,4
847,4
849,1
851,5
853,5
854,1
856,1
861,4
864,3
868,1
879,4
881,6
882,3
883,3
898,5
899,1
903,5
905,4
906,0
907,4
910,4
915,4
919,1
925,2
928,6
931,4
932,4
934,4
935,1
936,1
941,4
943,0
946,1
948,4
949,1
951,4
954,4
956,1
965,3
966,1
969,4
972,1
973,3
974,3
980,4
981,1
984,3
985,2
987,4
989,1
990,4
998,6
1000,1
1002,4
1008,4
1012,4
1013,1
1020,4
1021,4
1028,4
1029,4
1030,1
1032,1
1047,1
1048,4
1060,1
1061,4
1062,1
1063,1
1070,6
1074,3
1077,0
1078,3
1080,3
1083,4
1086,4
1087,1
1097,4
1101,4
1102,0
1106,4
1107,2
1108,4
1112,1
1113,1
1118,1
1119,1
1120,4
1121,3
1122,1
1123,2
1124,2
1128,4
1133,1
1134,3
1135,4
1137,1
1143,4
1145,1
1147,1
1150,4
1155,6
1156,1
1159,4
1160,4
1161,1
1163,4
1165,4
1166,4
1167,2
1170,4
1174,4
1176,1
1181,0
1182,1
1187,4
1188,1
1194,0
1198,1
1200,5
1202,1
1203,4
1206,2
1208,1
1211,4
1213,1
1214,1
1215,0
1218,1
1222,1
1224,4
1225,5
1230,1
1233,1
1234,3
1242,1
1243,5
1244,4
1249,1
1260,0
1266,4
1268,2
1273,4
1274,1
1276,4
1277,1
1279,4
1280,0
1285,0
1286,1
1287,4
1288,0
1289,3
1298,3
1300,0
1301,4
1302,3
1304,1
1308,2
1312,6
1313,1
1314,1
1315,4
1316,1
1318,1
1320,1
1322,5
1330,1
1331,5
1333,3
1334,1
1338,0
1340,1
1344,3
1350,1
1358,4
1359,1
1363,3
1367,6
1368,4
1369,4
1371,0
1373,1
1374,0
1377,3
1385,3
1394,3
1401,1
1404,3
1407,5
1412,6
1416,1
1417,4
1418,1
1420,3
1421,1
1423,4
1425,4
1428,3
1429,4
1430,4
1433,0
1434,3
1445,1
1450,4
1455,1
1457,3
1461,4
1465,1
1468,6
1469,0
1472,1
1482,1
1483,1
1484,1
1488,0
1489,3
1490,1
1492,3
1499,4
1500,4
1503,4
1506,1
1508,2
1511,3
1523,6
1525,6
1526,4
1528,1
1529,3
1531,0
1534,1
1535,1
1537,3
1538,1
1539,1
1540,0
1543,1
1546,1
1556,6
1559,0
1560,1
1563,1
1565,4
1574,3
1575,0
1577,4
1579,3
1587,1
1590,5
1592,3
1593,0
1598,4
1599,1
1606,4
1607,1
1608,4
1609,3
1611,0
1612,4
1614,1
1619,5
1620,3
1625,4
1630,4
1632,1
1641,4
1643,3
1644,0
1646,2
1647,3
1648,1
1650,1
1655,4
1658,5
1660,1
1662,4
1664,0
1667,4
1668,6
1670,4
1672,6
1676,4
1677,6
1678,6
1692,4
1694,4
1696,3
1699,4
1701,1
1702,4
1710,1
1713,5
1715,0
1727,5
1728,4
1731,2
1734,6
1737,1
1738,4
1739,3
1745,3
1748,4
1749,1
1755,4
1759,5
1764,0
1771,1
1774,2
1775,4
1777,4
1779,1
1780,4
1789,4
1792,5
1794,4
1800,6
1801,0
1813,4
1816,4
1817,4
1822,3
1823,4
1824,1
1828,4
1829,4
1831,0
1832,1
1833,1
1835,4
1843,1
1845,1
1847,2
1848,0
1850,1
1854,2
1860,1
1861,4
1863,1
1865,4
1867,3
1868,3
1869,1
1881,6
1882,4
1885,4
1890,1
1892,4
1895,6
1900,1
1902,0
1903,1
1904,0
1906,4
1912,4
1913,5
1917,1
1918,4
1919,4
1924,1
1933,6
1934,6
1936,1
1937,1
1938,4
1939,4
1940,6
1941,1
1944,1
1948,0
1951,1
1955,6
1956,1
1958,4
1959,1
1960,1
1961,1
1962,3
1963,4
1965,1
1967,4
1970,4
1971,1
1973,5
1980,0
1981,0
1983,0
1988,6
1990,3
1991,1
1993,3
1994,0
1998,1
1999,4
2000,0
2002,1
2004,1
2005,4
2008,1
2014,1
2017,4
2021,3
2022,1
2023,0
2024,1
2026,2
2027,1
2039,0
2040,0
2041,4
2042,4
2043,2
2046,4
2048,1
2051,0
2058,4
2064,4
2067,2
2069,4
2072,1
2073,4
2074,1
2086,2
2087,2
2088,3
2089,6
2090,6
2091,4
2093,3
2095,6
2097,4
2098,1
2101,3
2103,1
2105,4
2111,2
2112,4
2113,4
2121,0
2122,1
2123,1
2124,3
2125,4
2126,3
2131,6
2137,1
2138,1
2139,0
2140,4
2143,4
2146,4
2153,1
2155,4
2156,4
2157,1
2161,4
2168,5
2169,4
2176,0
2178,1
2182,4
2184,1
2188,0
2189,4
2194,1
2196,0
2198,1
2199,4
2203,6
2204,1
2206,3
2209,4
2210,1
2211,0
2212,1
2213,1
2214,4
2218,1
2219,0
2223,5
2225,1
2226,1
2227,1
2229,5
2232,4
2235,4
2238,0
2239,4
2240,4
2241,4
2244,1
2247,0
2250,1
2251,1
2253,0
2254,4
2256,1
2262,4
2263,0
2264,4
2265,5
2267,4
2268,4
2270,4
2272,4
2273,3
2275,4
2276,1
2278,2
2284,4
2285,5
2286,2
2293,3
2294,3
2296,1
2297,1
2298,6
2300,4
2306,1
2307,3
2309,0
2314,6
2321,1
2328,4
2330,1
2335,3
2336,1
2338,6
2343,1
2349,1
2352,0
2356,1
2361,3
2362,0
2363,0
2366,6
2370,1
2371,0
2374,0
2377,5
2379,1
2383,4
2387,4
2392,4
2397,4
2398,0
2399,1
2401,4
2402,0
2409,4
2413,1
2415,4
2417,1
2422,2
2425,4
2427,1
2428,3
2439,4
2441,2
2442,3
2446,4
2447,4
2448,4
2449,1
2450,4
2454,1
2458,3
2463,0
2467,4
2469,0
2470,5
2471,4
2472,1
2473,4
2477,1
2480,0
2482,0
2488,1
2491,3
2493,4
2495,1
2497,0
2507,0
2509,5
2512,0
2514,1
2515,0
2519,2
2520,0
2521,5
2529,1
2530,3
2532,5
2533,2
2538,1
2539,1
2540,1
2541,5
2542,6
2545,1
2549,4
2550,2
2551,5
2554,1
2557,1
2560,4
2563,0
2566,0
2567,5
2569,1
